task_id	dataset_name	dataset_dir	storage_dir	prot_p_conc	prot_cooperativity	prot_k_bind	prot_k_unbind	prot_k_bind_phys	global_ids_file
21	ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	1000.0	0.0	4.761904762	427.1428571	100	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50/p1000_c0.ids.txt
22	ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	1000.0	4.5	0.04761904762	4.271428571	1	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50/p1000_c4.5.ids.txt
23	ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	1000.0	4.5	0.4761904762	42.71428571	10	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50/p1000_c4.5.ids.txt
24	ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50	1000.0	4.5	4.761904762	427.1428571	100	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl04_bound_prom_evicted_stable147_refined_Eout_6.70_Ein10.50/p1000_c4.5.ids.txt
25	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	50.0	0.0	0.04761904762	4.271428571	1	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p50_c0.ids.txt
26	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	50.0	0.0	0.4761904762	42.71428571	10	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p50_c0.ids.txt
27	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	50.0	0.0	4.761904762	427.1428571	100	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p50_c0.ids.txt
28	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	50.0	4.5	0.04761904762	4.271428571	1	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p50_c4.5.ids.txt
29	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	50.0	4.5	0.4761904762	42.71428571	10	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p50_c4.5.ids.txt
30	ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/HAMNucRetSeq_pipeline/SPRM_data/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	/group/pol_schiessel/Manish/Spermatogensis/output/gillespie_event_sweep_stable147_v1_two_adsorption_gth/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50	50.0	4.5	4.761904762	427.1428571	100	cluster_sim_scripts/gillespie_event/reachable_ids/ctrl05_unbound_prom_yazdi_stable147_refined_Eout_6.70_Ein10.50/p50_c4.5.ids.txt
