p_conc,coop,k_bind,metric,half_life,decay_rate
0.1,7.5,10.0,0.4827791129879135,0.6517060046471812,-0.25970486094998285
0.1,7.5,100.0,0.4732595531506817,0.5980380428280895,-0.13883365295031225
0.1,7.5,1000.0,0.47070544489896915,0.5199922454320748,-0.12730538957753296
0.0,7.5,0.01,,,
0.0,7.5,0.1,,,
0.0,7.5,1.0,,,
0.0,7.5,10.0,,,
0.0,7.5,100.0,,,
0.0,7.5,1000.0,,,
1.0,7.5,0.01,0.24274930001977424,0.5310645791065344,-0.7488466735220686
1.0,7.5,0.1,0.3787357677072984,0.8265515824085492,-0.5613387876380823
1.0,7.5,1.0,0.4827791129879135,0.6517060046471812,-0.25970486094998285
1.0,7.5,10.0,0.4732595531506817,0.5980380428280895,-0.13883365295031225
1.0,7.5,100.0,0.47070544489896915,0.5199922454320748,-0.12730538957753296
1.0,7.5,1000.0,0.4697890801328173,0.5076833016244695,-0.12786906070173149
10.0,7.5,0.01,0.3787357677072984,0.8265515824085492,-0.5613387876380823
10.0,7.5,0.1,0.4827791129879135,0.6517060046471812,-0.25970486094998285
10.0,7.5,1.0,0.4732595531506817,0.5980380428280895,-0.13883365295031225
10.0,7.5,10.0,0.47070544489896915,0.5199922454320748,-0.12730538957753296
10.0,7.5,100.0,0.4697890801328173,0.5076833016244695,-0.12786906070173149
10.0,7.5,1000.0,0.4700464914704277,0.506140350877193,-0.12765917509860936
100.0,7.5,0.01,0.4827791129879135,0.6517060046471812,-0.25970486094998285
100.0,7.5,0.1,0.4732595531506817,0.5980380428280895,-0.13883365295031225
100.0,7.5,1.0,0.47070544489896915,0.5199922454320748,-0.12730538957753296
100.0,7.5,10.0,0.4697890801328173,0.5076833016244695,-0.12786906070173149
100.0,7.5,100.0,0.4700464914704277,0.506140350877193,-0.12765917509860936
100.0,7.5,1000.0,0.47004674617954306,0.506140350877193,-0.12766292456184022
0.001,10.0,0.01,0.1785460586972518,0.0,-0.7990495749852631
0.001,10.0,0.1,0.17967022150493278,0.0,-0.7991895497824478
0.001,10.0,1.0,0.18451632574929083,0.0,-0.8084448897968075
0.001,10.0,10.0,0.24275291023105047,0.5310645791065344,-0.748969850931357
0.001,10.0,100.0,0.3786849599698557,0.826468170609188,-0.5614241158402078
0.001,10.0,1000.0,0.4829275700304051,0.652769287198924,-0.25713689997464906
0.01,10.0,0.01,0.17967022150493278,0.0,-0.7991895497824478
0.01,10.0,0.1,0.18451632574929083,0.0,-0.8084448897968075
0.01,10.0,1.0,0.24275291023105047,0.5310645791065344,-0.748969850931357
0.01,10.0,10.0,0.3786849599698557,0.826468170609188,-0.5614241158402078
0.01,10.0,100.0,0.4829275700304051,0.652769287198924,-0.25713689997464906
0.01,10.0,1000.0,0.4741914357380541,0.5968322534197263,-0.14726023747543557
0.1,10.0,0.01,0.18451632574929083,0.0,-0.8084448897968075
0.1,10.0,0.1,0.24275291023105047,0.5310645791065344,-0.748969850931357
0.1,10.0,1.0,0.3786849599698557,0.826468170609188,-0.5614241158402078
0.1,10.0,10.0,0.4829275700304051,0.652769287198924,-0.25713689997464906
0.1,10.0,100.0,0.4741914357380541,0.5968322534197263,-0.14726023747543557
0.1,10.0,1000.0,0.4708835626860526,0.5202015308594128,-0.13560769130163733
0.0,10.0,0.01,,,
0.0,10.0,0.1,,,
0.0,10.0,1.0,,,
0.0,10.0,10.0,,,
0.0,10.0,100.0,,,
0.0,10.0,1000.0,,,
1.0,10.0,0.01,0.24275291023105047,0.5310645791065344,-0.748969850931357
1.0,10.0,0.1,0.3786849599698557,0.826468170609188,-0.5614241158402078
1.0,10.0,1.0,0.4829275700304051,0.652769287198924,-0.25713689997464906
1.0,10.0,10.0,0.4741914357380541,0.5968322534197263,-0.14726023747543557
1.0,10.0,100.0,0.4708835626860526,0.5202015308594128,-0.13560769130163733
1.0,10.0,1000.0,0.47005038367796537,0.5077523159434422,-0.13609849606402805
10.0,10.0,0.01,0.3786849599698557,0.826468170609188,-0.5614241158402078
10.0,10.0,0.1,0.4829275700304051,0.652769287198924,-0.25713689997464906
10.0,10.0,1.0,0.4741914357380541,0.5968322534197263,-0.14726023747543557
10.0,10.0,10.0,0.4708835626860526,0.5202015308594128,-0.13560769130163733
10.0,10.0,100.0,0.47005038367796537,0.5077523159434422,-0.13609849606402805
10.0,10.0,1000.0,0.4703158410115116,0.5063568610258659,-0.13588997680752596
100.0,10.0,0.01,0.4829275700304051,0.652769287198924,-0.25713689997464906
100.0,10.0,0.1,0.4741914357380541,0.5968322534197263,-0.14726023747543557
100.0,10.0,1.0,0.4708835626860526,0.5202015308594128,-0.13560769130163733
100.0,10.0,10.0,0.47005038367796537,0.5077523159434422,-0.13609849606402805
100.0,10.0,100.0,0.4703158410115116,0.5063568610258659,-0.13588997680752596
100.0,10.0,1000.0,0.4703162088839391,0.5063568610258659,-0.13588997213180143
